name,classification,parse,name_variations
ALINE,F,ALINE (A),|AALINE|AILINE|ALEINE|ALIINE|ALINE|ALINER|ALINHE|ALINNE|ALYNE|ALYNNE|AYLINE|EALINE|ELEINE|ELINE|ELINER|ELINNE|ELYNE|EULINE|HALINE|HALYNE|HELEINE|HELINE|HELYNE|IALINE|ILEINE|ILINE|LEINE|LEINER|LEYNE|LINE|LINER|LUEINE|LUINE|LUYNE|LYNE|LYNNE|OLINE|UELINE|
ARAO,M,ARAO (AR),|AARAO|ARAAO|ARAO|
ARON,M,ARON (ARM),|AARON|AHARON|AROM|ARON|ARYON|HARON|
ADA,F,ADA (AD),|ABA|ADA|ADAH|ADAR|ADHA|HADA|
ABADE,M,ABADE (ABD),|ABADE|
ABADI,M,ABADI (ABD),|ABADI|ABADIR|
ABADIA,F,ABADIA (ABD),|ABADIA|
ABADIAS,M,ABADIAS (ABDS),|ABADIAS|
ABADIO,M,ABADIO (ABD),|ABADIO|
ADETE,F,ADETE (ADT),|ABAETE|ABETE|ADETE|
ABD,M,ABD (ABD),|ABD|
ABDA,F,ABDA (ABD),|ABDA|ADDA|
ABDIEL,M,ABDIEL (ABD),|ABDAEL|ABDAL|ABDEEL|ABDEL|ABDIEL|ABDUL|ADBEEL|ADBEL|ADBIEL|
ABDALA,M,ABDALA (ABDl),|ABDALA|
ABDALLA,M,ABDALLA (ABDl),|ABDALLA|ABDALLAH|
ABDAO,M,ABDAO (ABD),|ABDAO|
ABDER,M,ABDER (ABDR),|ABDE|ABDER|ADBE|
ABDENAGO,M,ABDENAGO (ABDG),|ABDENAGO|
ABDENEGO,M,ABDENEGO (ABDG),|ABDENEGO|
ABDENICO,M,ABDENICO (ABDK),|ABDENICO|
ABDENIGO,M,ABDENIGO (ABDG),|ABDENIGO|
ABDENIO,M,ABDENIO (ABD),|ABDENIO|
ABDENOR,M,ABDENOR (ABDR),|ABDENOR|
ABDERMAN,M,ABDERMAN (ABDRMM),|ABDERMAN|
ABDI,M,ABDI (ABD),|ABDI|ABDIR|ADBI|ADDY|
ABDIA,M,ABDIA (ABD),|ABDIA|
ABDIAS,M,ABDIAS (ABDS),|ABDIAS|
ABDISIO,M,ABDISIO (ABDS),|ABDISIO|
ABDNEGO,M,ABDNEGO (ABDG),|ABDNEGO|
ABDO,M,ABDO (ABD),|ABDO|
ABDON,M,ABDON (ABDM),|ABDOM|ABDON|
ABDORAL,M,ABDORAL (ABDR),|ABDORAL|
ABDU,M,ABDU (ABD),|ABDU|
ADER,M,ADER (ADR),|ABE|ABER|ADE|ADER|HADER|
ADECIO,M,ADECIO (ADS),|ABECIO|ADECIO|
ABEDENEGO,M,ABEDENEGO (ABDG),|ABEDENEGO|
ABEDIAS,M,ABEDIAS (ABDS),|ABEDIAS|ADEDIAS|
ADEBAL,M,ADEBAL (ADB),|ABEDIEL|ADEBAL|
ABEDNEGO,M,ABEDNEGO (ABDG),|ABEDNEGO|
ABEDON,M,ABEDON (ABDM),|ABEDON|
ABEGAIL,F,ABEGAIL (ABG),|ABEGAIL|ADEGIL|
ADEJAIR,M,ADEJAIR (ADJR),|ABEGAIR|ADEGAIR|ADEJAIR|
ABELARD,M,ABELARD (ABlRD),|ABEILARD|ABELARD|
ADEILDO,M,ADEILDO (ADD),|ABEILDO|ADAILDO|ADALDO|ADEALDO|ADEILDO|ADELDO|ADILDO|ADOALDO|ADUALDO|
ADAILTON,M,ADAILTON (ADTM),|ABEILTON|ADAELTON|ADAILTOM|ADAILTON|ADALTOM|ADALTON|ADAYLTON|ADEILTOM|ADEILTON|ADELTOM|ADELTON|ADIELTON|ADILTOM|ADILTON|ADOILTON|HADAILTON|
ABEL,M,ABEL (AB),|ABEL|ABIAIL|ABIEL|ABIL|ADAEL|ADAHIL|ADAHYL|ADAIL|ADAL|ADAYL|ADEIL|ADEL|ADIEL|ADIL|ADOEL|ADUIL|ADYEL|ADYL|
ADELAR,M,ADELAR (ADlR),|ABELA|ABELAR|ABILA|ABILHA|ABLA|ADAILA|ADALA|ADALHA|ADEILA|ADELA|ADELAR|ADELHA|ADILA|ADILAR|ADILHA|ADLA|ADLAR|ADOLAR|ADYLA|HADILA|HADLA|
ADELIA,F,ADELIA (AD),|ABELAIR|ABELIA|ABILIA|ADALHIA|ADALIA|ADELAI|ADELAIR|ADELHIA|ADELIA|ADILAI|ADILAIR|ADILIA|ADLAI|ADLAIR|ADLIA|
ABELARDA,F,ABELARDA (ABlRD),|ABELARDA|
ABELARDO,M,ABELARDO (ABlRD),|ABELARDO|ADALARDO|ADELARDO|
ADELIR,F,ADELIR (ADR),|ABELI|ABILI|ADAELI|ADALI|ADALIR|ADALY|ADELEI|ADELI|ADELIR|ADELY|ADIELI|ADIELY|ADILEI|ADILEY|ADILI|ADLEI|ADLEY|ADLI|ADLY|ADOLI|ADOLIR|HADLEY|
ADELICE,F,ADELICE (ADS),|ABELICE|ADALICE|ADELICE|
ADELICIA,F,ADELICIA (ADS),|ABELICIA|ADALICIA|ADELICIA|
ADELINA,F,ADELINA (AD),|ABELINA|ADALINA|ADELINA|ADILINA|ADLINA|ADOLINA|
ADELINE,F,ADELINE (AD),|ABELINE|ADALINE|ADELINE|ADILINE|ADLINE|
ADELINO,M,ADELINO (AD),|ABELINO|ABILINO|ADALINO|ADELINO|ADILINO|ADLINO|ADOLINO|
ABILIO,M,ABILIO (AB),|ABELIO|ABILHIO|ABILIO|ABLIO|ADAELIO|ADAILIO|ADALIO|ADELIO|ADILHIO|ADILIO|ADLIO|ADUILIO|
ADELIRIO,M,ADELIRIO (AD),|ABELIRIO|ADALIRIO|ADELIRIO|
ADELITA,F,ADELITA (ADT),|ABELITA|ADALITA|ADELITA|
ADELMA,F,ADELMA (ADM),|ABELMAR|ABILMAR|ADAELMA|ADAILMA|ADALMA|ADALMAR|ADEILMA|ADELMA|ADELMAR|ADIELMA|ADILMA|ADILMAR|
