"created_at";"updated_at";"deleted_at";"name";"classification";"parse";"metaphone";"name_variations"
"";"";"";"ALINE";"F";"ALINE (A)";"A";"|AALINE|AILINE|ALEINE|ALIINE|ALINE|ALINER|ALINHE|ALINNE|ALYNE|ALYNNE|AYLINE|EALINE|ELEINE|ELINE|ELINER|ELINNE|ELYNE|EULINE|HALINE|HALYNE|HELEINE|HELINE|HELYNE|IALINE|ILEINE|ILINE|LEINE|LEINER|LEYNE|LINE|LINER|LUEINE|LUINE|LUYNE|LYNE|LYNNE|OLINE|UELINE|"
"";"";"";"ARAO";"M";"ARAO (AR)";"AR";"|AARAO|ARAAO|ARAO|"
"";"";"";"ARON";"M";"ARON (ARM)";"ARM";"|AARON|AHARON|AROM|ARON|ARYON|HARON|"
"";"";"";"ADA";"F";"ADA (AD)";"AD";"|ABA|ADA|ADAH|ADAR|ADHA|HADA|"
"";"";"";"ABADE";"M";"ABADE (ABD)";"ABD";"|ABADE|"
"";"";"";"ABADI";"M";"ABADI (ABD)";"ABD";"|ABADI|ABADIR|"
"";"";"";"ABADIA";"F";"ABADIA (ABD)";"ABD";"|ABADIA|"
"";"";"";"ABADIAS";"M";"ABADIAS (ABDS)";"ABDS";"|ABADIAS|"
"";"";"";"ABADIO";"M";"ABADIO (ABD)";"ABD";"|ABADIO|"
"";"";"";"ADETE";"F";"ADETE (ADT)";"ADT";"|ABAETE|ABETE|ADETE|"
"";"";"";"ABD";"M";"ABD (ABD)";"ABD";"|ABD|"
"";"";"";"ABDA";"F";"ABDA (ABD)";"ABD";"|ABDA|ADDA|"
"";"";"";"ABDIEL";"M";"ABDIEL (ABD)";"ABD";"|ABDAEL|ABDAL|ABDEEL|ABDEL|ABDIEL|ABDUL|ADBEEL|ADBEL|ADBIEL|"
"";"";"";"ABDALA";"M";"ABDALA (ABDl)";"ABDl";"|ABDALA|"
"";"";"";"ABDALLA";"M";"ABDALLA (ABDl)";"ABDl";"|ABDALLA|ABDALLAH|"
"";"";"";"ABDAO";"M";"ABDAO (ABD)";"ABD";"|ABDAO|"
"";"";"";"ABDER";"M";"ABDER (ABDR)";"ABDR";"|ABDE|ABDER|ADBE|"
"";"";"";"ABDENAGO";"M";"ABDENAGO (ABDG)";"ABDG";"|ABDENAGO|"
"";"";"";"ABDENEGO";"M";"ABDENEGO (ABDG)";"ABDG";"|ABDENEGO|"
"";"";"";"ABDENICO";"M";"ABDENICO (ABDK)";"ABDK";"|ABDENICO|"
"";"";"";"ABDENIGO";"M";"ABDENIGO (ABDG)";"ABDG";"|ABDENIGO|"
"";"";"";"ABDENIO";"M";"ABDENIO (ABD)";"ABD";"|ABDENIO|"
"";"";"";"ABDENOR";"M";"ABDENOR (ABDR)";"ABDR";"|ABDENOR|"
"";"";"";"ABDERMAN";"M";"ABDERMAN (ABDRMM)";"ABDRMM";"|ABDERMAN|"
"";"";"";"ABDI";"M";"ABDI (ABD)";"ABD";"|ABDI|ABDIR|ADBI|ADDY|"
"";"";"";"ABDIA";"M";"ABDIA (ABD)";"ABD";"|ABDIA|"
"";"";"";"ABDIAS";"M";"ABDIAS (ABDS)";"ABDS";"|ABDIAS|"
"";"";"";"ABDISIO";"M";"ABDISIO (ABDS)";"ABDS";"|ABDISIO|"
"";"";"";"ABDNEGO";"M";"ABDNEGO (ABDG)";"ABDG";"|ABDNEGO|"
"";"";"";"ABDO";"M";"ABDO (ABD)";"ABD";"|ABDO|"
"";"";"";"ABDON";"M";"ABDON (ABDM)";"ABDM";"|ABDOM|ABDON|"
"";"";"";"ABDORAL";"M";"ABDORAL (ABDR)";"ABDR";"|ABDORAL|"
"";"";"";"ABDU";"M";"ABDU (ABD)";"ABD";"|ABDU|"
"";"";"";"ADER";"M";"ADER (ADR)";"ADR";"|ABE|ABER|ADE|ADER|HADER|"
"";"";"";"ADECIO";"M";"ADECIO (ADS)";"ADS";"|ABECIO|ADECIO|"
"";"";"";"ABEDENEGO";"M";"ABEDENEGO (ABDG)";"ABDG";"|ABEDENEGO|"
"";"";"";"ABEDIAS";"M";"ABEDIAS (ABDS)";"ABDS";"|ABEDIAS|ADEDIAS|"
"";"";"";"ADEBAL";"M";"ADEBAL (ADB)";"ADB";"|ABEDIEL|ADEBAL|"
"";"";"";"ABEDNEGO";"M";"ABEDNEGO (ABDG)";"ABDG";"|ABEDNEGO|"
"";"";"";"ABEDON";"M";"ABEDON (ABDM)";"ABDM";"|ABEDON|"
"";"";"";"ABEGAIL";"F";"ABEGAIL (ABG)";"ABG";"|ABEGAIL|ADEGIL|"
"";"";"";"ADEJAIR";"M";"ADEJAIR (ADJR)";"ADJR";"|ABEGAIR|ADEGAIR|ADEJAIR|"
"";"";"";"ABELARD";"M";"ABELARD (ABlRD)";"ABlRD";"|ABEILARD|ABELARD|"
"";"";"";"ADEILDO";"M";"ADEILDO (ADD)";"ADD";"|ABEILDO|ADAILDO|ADALDO|ADEALDO|ADEILDO|ADELDO|ADILDO|ADOALDO|ADUALDO|"
"";"";"";"ADAILTON";"M";"ADAILTON (ADTM)";"ADTM";"|ABEILTON|ADAELTON|ADAILTOM|ADAILTON|ADALTOM|ADALTON|ADAYLTON|ADEILTOM|ADEILTON|ADELTOM|ADELTON|ADIELTON|ADILTOM|ADILTON|ADOILTON|HADAILTON|"
"";"";"";"ABEL";"M";"ABEL (AB)";"AB";"|ABEL|ABIAIL|ABIEL|ABIL|ADAEL|ADAHIL|ADAHYL|ADAIL|ADAL|ADAYL|ADEIL|ADEL|ADIEL|ADIL|ADOEL|ADUIL|ADYEL|ADYL|"
"";"";"";"ADELAR";"M";"ADELAR (ADlR)";"ADlR";"|ABELA|ABELAR|ABILA|ABILHA|ABLA|ADAILA|ADALA|ADALHA|ADEILA|ADELA|ADELAR|ADELHA|ADILA|ADILAR|ADILHA|ADLA|ADLAR|ADOLAR|ADYLA|HADILA|HADLA|"
"";"";"";"ADELIA";"F";"ADELIA (AD)";"AD";"|ABELAIR|ABELIA|ABILIA|ADALHIA|ADALIA|ADELAI|ADELAIR|ADELHIA|ADELIA|ADILAI|ADILAIR|ADILIA|ADLAI|ADLAIR|ADLIA|"
"";"";"";"ABELARDA";"F";"ABELARDA (ABlRD)";"ABlRD";"|ABELARDA|"
"";"";"";"ABELARDO";"M";"ABELARDO (ABlRD)";"ABlRD";"|ABELARDO|ADALARDO|ADELARDO|"
"";"";"";"ADELIR";"F";"ADELIR (ADR)";"ADR";"|ABELI|ABILI|ADAELI|ADALI|ADALIR|ADALY|ADELEI|ADELI|ADELIR|ADELY|ADIELI|ADIELY|ADILEI|ADILEY|ADILI|ADLEI|ADLEY|ADLI|ADLY|ADOLI|ADOLIR|HADLEY|"
"";"";"";"ADELICE";"F";"ADELICE (ADS)";"ADS";"|ABELICE|ADALICE|ADELICE|"
"";"";"";"ADELICIA";"F";"ADELICIA (ADS)";"ADS";"|ABELICIA|ADALICIA|ADELICIA|"
"";"";"";"ADELINA";"F";"ADELINA (AD)";"AD";"|ABELINA|ADALINA|ADELINA|ADILINA|ADLINA|ADOLINA|"
"";"";"";"ADELINE";"F";"ADELINE (AD)";"AD";"|ABELINE|ADALINE|ADELINE|ADILINE|ADLINE|"
"";"";"";"ADELINO";"M";"ADELINO (AD)";"AD";"|ABELINO|ABILINO|ADALINO|ADELINO|ADILINO|ADLINO|ADOLINO|"
"";"";"";"ABILIO";"M";"ABILIO (AB)";"AB";"|ABELIO|ABILHIO|ABILIO|ABLIO|ADAELIO|ADAILIO|ADALIO|ADELIO|ADILHIO|ADILIO|ADLIO|ADUILIO|"
"";"";"";"ADELIRIO";"M";"ADELIRIO (AD)";"AD";"|ABELIRIO|ADALIRIO|ADELIRIO|"
"";"";"";"ADELITA";"F";"ADELITA (ADT)";"ADT";"|ABELITA|ADALITA|ADELITA|"
"";"";"";"ADELMA";"F";"ADELMA (ADM)";"ADM";"|ABELMAR|ABILMAR|ADAELMA|ADAILMA|ADALMA|ADALMAR|ADEILMA|ADELMA|ADELMAR|ADIELMA|ADILMA|ADILMAR|"
"";"";"";"ADILHO";"M";"ADILHO (AD1)";"AD1";"|ABELO|ABELOR|ABILHO|ABILO|ABLO|ADAILO|ADALHO|ADALO|ADELHO|ADELO|ADELOR|ADILHO|ADILO|ADILOR|ADUILO|"
"";"";"";"ADILSON";"M";"ADILSON (ADSM)";"ADSM";"|ABEILSON|ABELSON|ADAELSOM|ADAELSON|ADAILSOM|ADAILSON|ADAILZON|ADALSON|ADEILSOM|ADEILSON|ADELSOM|ADELSON|ADELZON|ADEYLSON|ADIELSOM|ADIELSON|ADIILSON|ADILSOM|ADILSON|ADLSOM|ADLSON|ADOILSOM|ADOILSON|ADOLSON|ADUILSON|ADYLSON|HADILSON|"
"";"";"";"ADEMIL";"M";"ADEMIL (ADM)";"ADM";"|ABEMAEL|ADEMAEL|ADEMIL|"
"";"";"";"ADEMOR";"M";"ADEMOR (ADMR)";"ADMR";"|ABEMOR|ADEMO|ADEMOR|"
"";"";"";"ABENAIAS";"M";"ABENAIAS (ABIS)";"ABIS";"|ABENAIAS|"
"";"";"";"ADENAIDE";"F";"ADENAIDE (ADD)";"ADD";"|ABENAIDE|ADENAIDE|"
"";"";"";"ADENAIR";"F";"ADENAIR (ADR)";"ADR";"|ABENAIR|ADENAI|ADENAIR|ADENIA|"
"";"";"";"ADENILDO";"M";"ADENILDO (ADD)";"ADD";"|ABENALDO|ABENILDO|ADENAILDO|ADENALDO|ADENILDO|ADENOALDO|"
"";"";"";"ABENER";"M";"ABENER (ABR)";"ABR";"|ABENE|ABENER|ADAENE|ADENE|ADENER|"
"";"";"";"ADENIR";"M";"ADENIR (ADR)";"ADR";"|ABENEIR|ABENI|ABENIR|ADENEI|ADENEIR|ADENI|ADENIR|ADENY|ADENYR|"
"";"";"";"ADENIL";"M";"ADENIL (AD)";"AD";"|ABENEL|ABENIL|ADENAEL|ADENAIL|ADENAL|ADENIEL|ADENIL|ADENOEL|"
"";"";"";"ADENEVALDO";"M";"ADENEVALDO (ADVD)";"ADVD";"|ABENEVALDO|ADENEVALDO|"
"";"";"";"ADENIAS";"M";"ADENIAS (ADS)";"ADS";"|ABENIAS|ADENIAS|"
"";"";"";"ADENICIO";"M";"ADENICIO (ADS)";"ADS";"|ABENICIO|ADENICIO|"
"";"";"";"ADENILDE";"F";"ADENILDE (ADD)";"ADD";"|ABENAILDE|ABENILDE|ADENAILDE|ADENILDE|"
"";"";"";"ADENILDES";"F";"ADENILDES (ADDS)";"ADDS";"|ABENILDES|ADENAILDES|ADENILDES|"
"";"";"";"ADENILSON";"M";"ADENILSON (ADSM)";"ADSM";"|ABENILSON|ADENAILSON|ADENEILSON|ADENELSON|ADENIELSON|ADENILSOM|ADENILSON|ADENLSON|"
"";"";"";"ADENILTON";"M";"ADENILTON (ADTM)";"ADTM";"|ABENAILTON|ABENILTON|ADENAILTON|ADENILTOM|ADENILTON|ADENLTON|"
"";"";"";"ADENILZA";"F";"ADENILZA (ADZ)";"ADZ";"|ABENILZA|ADENILSA|ADENILZA|"
"";"";"";"ADENITA";"F";"ADENITA (ADT)";"ADT";"|ABENITA|ADENITA|"
"";"";"";"ADENIZA";"F";"ADENIZA (ADZ)";"ADZ";"|ABENIZA|ADENISA|ADENIZA|"
"";"";"";"ADENISIA";"F";"ADENISIA (ADS)";"ADS";"|ABENIZIA|ADENISIA|ADENIZIA|"
"";"";"";"ABENONE";"M";"ABENONE (AB)";"AB";"|ABENONE|"
"";"";"";"ADENOR";"M";"ADENOR (ADR)";"ADR";"|ABENOR|ADENO|ADENOR|"
"";"";"";"ADERALDO";"M";"ADERALDO (ADD)";"ADD";"|ABERALDO|ABEROALDO|ADERALDO|ADERILDO|ADEROALDO|"
"";"";"";"ADERCIO";"M";"ADERCIO (ADRS)";"ADRS";"|ABERCIO|ADAERCIO|ADERCIO|"
"";"";"";"ABERLADO";"M";"ABERLADO (ABRlD)";"ABRlD";"|ABERLADO|"
"";"";"";"ADERLAN";"M";"ADERLAN (ADRlM)";"ADRlM";"|ABERLAN|ADERLAM|ADERLAN|"
"";"";"";"ADERLANDIA";"F";"ADERLANDIA (ADRlD)";"ADRlD";"|ABERLANDIA|ADERLANDIA|"
"";"";"";"ABERLARDO";"M";"ABERLARDO (ABRlRD)";"ABRlRD";"|ABERLARDO|"
"";"";"";"ADERLINDO";"M";"ADERLINDO (ADRD)";"ADRD";"|ABERLINDO|ADERLINDO|"
"";"";"";"ADERSON";"M";"ADERSON (ADRSM)";"ADRSM";"|ABERSON|ADERSOM|ADERSON|HADERSON|"
"";"";"";"ADERVAL";"M";"ADERVAL (ADRV)";"ADRV";"|ABERVAL|ADERVAL|"
"";"";"";"ADES";"M";"ADES (ADS)";"ADS";"|ABES|ADES|HADES|"
"";"";"";"ADETINO";"M";"ADETINO (ADT)";"ADT";"|ABETINO|ADETINO|"
"";"";"";"ADEVALDO";"M";"ADEVALDO (ADVD)";"ADVD";"|ABEVALDO|ADEVALDO|"
